书名,作者,价格,出版社
 About Face 4交互设计精髓（纪念版）用户体验行业圣经 交互设计先驱之作 交互设计先驱之作+VB之父经典著作+20余年影响力延续大作+交互设计者\uxer\产品经理\创新设计者从业圣经——只为更好的用户体验,Alan,¥70.40,电子工业出版社
 PyTorch 2.0深度学习从零开始学 实战中文情感分类、拼音汉字转化、中文文本分类、拼音汉字翻译、强化学习、语音唤醒、人脸识别,王晓华,¥51.70,清华大学出版社
 Scratch少儿趣味编程100例全彩版 Scratch 3.0零基础启蒙 43小时独家视频讲解 小学生趣味编程 教孩子 50万粉丝少儿编程教育大V力作，43小时2580分钟全程视频讲解，100个趣味实例演示，全彩全图印刷，多元化学习服务，带孩子轻松学！AI时代，会编程的孩子不会输！,爱编程的魏校长,¥89.80,水利水电出版社
 为什么伟大不能被计划 OpenAI肯尼斯斯坦利乔尔雷曼人工智能思维课底层逻辑和认知创新思维训练与方法认知觉醒哲学思维启蒙 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,肯尼斯·斯坦利,¥38.70,中译出版社
 芯片浪潮： 纳米工艺背后的全球竞争 摩尔定律进化史|纳米工艺的全球角逐史|芯片制造领袖人物的商战史,余盛,¥66.70,电子工业出版社
 父与子的编程之旅 与小卡特一起学Python 第3版（全彩印刷） Python青少年编程启蒙畅销书全新升级，问答式讲解，从孩子的视角展现逻辑思维过程，寓教于乐，趣味游戏与编程知识无缝衔接，全彩印刷,沃伦·桑德,¥94.10,人民邮电出版社
 驾驭ChatGPT：学会使用提示词 学会使用提示词，是未来每个人与ChatGPT及AI作画相处的基本技能,Shom,¥37.40,电子工业出版社
 SSM + Spring Boot + Vue.js 3全栈开发从入门到实战（微课视频版） （1）内容系统全面 （2）精心设计大量实例和案例。 （3）配套资源丰富。,陈恒,¥75.40,清华大学出版社
 TikTok运营实战 一本书讲清TikTok电商完整链路；国内早入局TikTok电商【领军人物】撰写；TikTok运营教材；交个朋友海外电商学苑官方指定用书；抖音国际版流量变现,陶境峰,¥48.90,电子工业出版社
 中小学Python编程项目学习创意课堂（微课版） 青少年编程零基础入门，一线信息技术老师通过60多个项目案例教孩子入门、掌握Python语言编程的方法与技巧。随书配有案例素材、源文件、答案、PPT课件、教学微课等立体化资源，获取地址见书前言二维,方其桂,¥60.20,清华大学出版社
 JavaScript权威指南（第7版） 全球畅销25年JS犀牛书全新升级，涵盖ECMAScript2020|JavaScript高级程序设计从入门到精通，全体前端开发者案头手册,David,¥109.90,机械工业出版社
 硅基物语 AI写作高手：从零开始用ChatGPT学会写作 看清AI写作逻辑 讲透AI写作之道 看清AI写作逻辑，讲透AI写作之道；掌握写作黑科技，用AI引爆你的创作天赋；从0到1，教你巧用AI学会写作；突破写作困境，完成从写作小白到写作大神的蜕变,无戒,¥44.20,北京大学出版社
 软件设计师真题精析与命题密卷（全国计算机技术与软件专业技术资格考试） 2023软考通关，答案准确，解析深刻，浓缩著名一线软考讲师多年黄金经验,薛大龙,¥27.00,水利水电出版社
 WPS Office高效办公一本通：文字·表格·演示·PDF·脑图 WPS Office办公软件从入门到精通,博蓄诚品,¥69.00,化学工业出版社
 中文版Excel 2019高级VBA编程宝典(第9版) 一站式VBA充电站，借助VBA成为Excel高级用户。 助你从普通数据分析人员华丽蜕变为Excel编程专家。,迈克尔·亚力山大,¥96.70,清华大学出版社
 Halcon机器视觉算法原理与编程实战 Halcon圣经：对机器视觉图像处理的各种技术做了原理上的分析和代码实现，包括从环境搭建到提取结果全流程讲解（全彩印刷）,杨青,¥61.30,北京大学出版社
 零基础学Java（全彩版）Java新手入门自学教程 零基础自学编程的入门图书，由浅入深，详解Java语言的编程思想和核心技术，配同步视频教程和源代码，海量资源免费赠送,明日科技,¥68.40,吉林大学出版社
 动手玩转Scratch 3.0编程：人工智能科创教育指南 外版优质畅销书全面升级！Scratch 3.0编程，名师力荐，内容满足人工智能科创教育实践和STEAM创新教育实践需求，帮助读者玩转游戏、艺术、科学、数学各领域编程研发。,Majed,¥54.40,电子工业出版社
 用ChatGPT轻松玩转机器学习与深度学习 突破传统学习束缚，借助ChatGPT的神奇力量，解锁AI无限可能 段小手 突破传统学习束缚，借助ChatGPT的神奇力量，解锁AI无限可能！,段小手,¥66.70,北京大学出版社
" 火球——UML大战需求分析（第二版） UML中国UML认证专家委员会专家、“豆芽儿”CTO张传波老师力作,二十年UML研究及应用经验",张传波,¥68.00,水利水电出版社
 CUDA并行程序设计：GPU编程指南(CUDA社区技术总监撰写，英伟达官方认证工程师翻译) ,Shane,¥71.50,机械工业出版社
 机器学习常用算法速查手册 用Python处理结构化数据，本书代码经过精心剪裁，长度适中，以便你灵活将其运用到自己的项目中。,马特哈里森,¥86.20,中国电力出版社
 说服力 工作型PPT该这样做 别告诉我你懂PPT，和秋叶PPT学办公软件，视频教学教职场小白学现代商务办公PowerPoint幻灯片，快速走上PPT高手之路，搞定PPT设计思维，赠10G PPT素材下载和纸质PPT品控手册。,秦阳,¥69.80,人民邮电出版社
 IC芯片设计中的静态时序分析实践 终于有书讲明白了STA！ASIC设计，SDC、SDF、SPEF格式完整介绍,J.巴斯卡尔,¥101.20,机械工业出版社
 WPS函数与公式速查大全 双色图解+视频讲解，10余类200+常用函数一网打尽,博蓄诚品,¥128.00,化学工业出版社
 C语言从入门到精通（第6版） C语言入门经典，46万C程序员的入门选择。配备升级版C语言开发资源库，在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,明日科技,¥59.80,清华大学出版社
 PPT最强教科书：[完全版] 想学好PPT？看点有用的！热销系列新成员前来报到，123个好用的PPT办公场景常用技巧，效率提升不只一点点！,张栋,¥88.00,中国青年出版社
 启示录：打造用户喜爱的产品 ,Marty,¥39.20,华中科技大学出版社
 大话设计模式【Java溢彩加强版】 程杰作品。畅销15年的超级IT原创书焕然上市。全彩印刷，JAVA设计模式与面向对象观念同步养成。,程杰,¥129.00,清华大学出版社
 CCF中学生计算机程序设计-基础篇 浅显的描述揭示深刻的内涵，信息学国际教练，教你如何编程！CCF中学生计算机程序设计教材，noip竞赛参考书，中学生计算机编程经典教材，小学、初、高中计算机程序设计爱好者,中国计算机学会,¥28.50,科学出版社
 剪映短视频剪辑从入门到精通：调色+特效+字幕+配音 影视剪辑技巧 视频拍摄 视频制作 卡点配音 音频处理 后期特效 滤镜调色 转场 字幕 分屏,龙飞,¥78.00,化学工业出版社
 利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,韦斯·麦金尼,¥77.40,机械工业出版社
 新印象 Unity 2020游戏开发基础与实战 Unity游戏开发教程，以技术讲解和项目实战为主，从Unity的基础操作讲解到游戏开发核心技术，丰富实战案例，附赠素材文件、1020分钟案例教学视频及300多分钟C#入门视频。,杜亚南,¥129.80,人民邮电出版社
 深度学习入门 基于Python的理论与实现 人工智能入门学习教程 日本深度学习入门书籍 基于python 3 从零创建一个深度学习模型,斋藤康毅,¥69.80,人民邮电出版社
 CCF中学生计算机程序设计提高篇 ,徐先友,¥33.70,科学出版社
 统计学习方法 实用性强，深入浅出，统计机器学习领域的建议读本,李航,¥74.00,清华大学出版社
 WPS Office办公应用从入门到精通（可视化完全自学，零基础快速入门，同步视频秒懂版） 高效办公实战版，零基础快速入门。全面网罗WPS Office知识点和操作，图文结合，直观细节；技巧干货，易学易会；案例引导，活学活用；由易到难，循序渐进技能。让你轻松实现高效办公，成为商务办公能手。,郭绍义,¥47.00,天津科学技术出版社
 Word/Excel/PPT办公应用从入门到精通 办公应用三合一，专门为初学者量身定做。以图解办公实务案例为基础，深入浅出、直观形象地讲解了三大办公软件的基本操作以及繁琐命令快捷化的实用技巧。让你轻松实现高效办公，短时间内轻松成为商务办公能手。,杨阳,¥53.90,天津科学技术出版社
 Power BI数据分析与可视化实战 PowerBI商业智能分析，微软MVP教你DAX语言、数据查询和数据建模，财务、HR、生产、销售数据看板美化案例，制作堪比商业海报效果的可视化报表,Excel,¥96.00,北京大学出版社
 编程启蒙：从Python走进编程世界 青少年编程入门，就选Python！超全、超实用的编程知识与技巧，带你趣味学Python，培养编程思维，终生受益。,李晋,¥49.30,中国商务出版社
 抖音+剪映+Premiere短视频制作从新手到高手 全彩印刷 超值附送88个视频，长达230分钟，扫码即可直接观看,王斐,¥59.20,清华大学出版社
 DAMA数据管理知识体系指南（原书第2版） 一本关于数据管理知识体系的专业指南和权威读物,DAMA,¥83.20,机械工业出版社
 人人都能拍大片：手机短视频制作技巧指南 手机短视频拍摄+剪辑一本通，短视频快速变现引流，宝妈兼职短视频小白快速上手，构图/运镜/色彩/剪辑，附赠110分钟教学视频。,空叶,¥69.90,人民邮电出版社
 信息学奥赛一本通关 基于少儿编程大背景，提供一条通往初中、高中、大学的上升通道。,蔡荣啸,¥96.00,清华大学出版社
 运镜师手册：短视频拍摄与脚本设计从入门到精通 1本书精通短视频拍摄运镜技能 轻松玩转短视频拍摄与脚本设计 木白 短视频运镜魔法书：75种运镜技法+110集同步教学视频+精美的PPT课件，28万粉丝都喜欢的短视频拍摄技巧，让你快速成长为行业大咖,木白,¥66.70,北京大学出版社
 UG NX 12.0中文版从入门到精通ug教程ug建模ug模具设计ug12曲面设计钣金草图设计工程图数控编程数控加工ca UG实例视频教程 手机扫码看278节同步教学视频 546页正文内容 90个实战实例分析 12大行业应用案例 188页拓展电子书 基础知识+中小实例+综合案例+视频讲解 零基础工程设计快速入门！,天工在线,¥88.00,水利水电出版社
 由浅入深学习SAP财务 由浅入深学习SAP系统 财务分析 ERP系统 会计 资产 订单 获利分析 15年SAP项目实施和管理经验分享,高林旭,¥118.00,人民邮电出版社
 小学生学人工智能 stem书籍 青少年人工智能技术水平测试辅导书 人工智能神经网络和深度学习启蒙 AI入门指南 青少年人工智能入门书籍,范瑞峰,¥29.60,人民邮电出版社
 Excel应用大全 for Excel 365 & Excel 2021 Excel Home出品 函数图表VBA/Po Excel奠基之作：Excel Home多位微软全球MVP专家打造，精选Excel Home海量案例，讲授Excel多项绝密应用，披露Excel专家多年研究成果，全面揭秘Excel技术内幕,Excel,¥104.20,北京大学出版社
 代码大全2 最新中文纪念版 赠全彩检查清单册 软件开发奠基之作编程最佳实用指南 赠全彩英文剧本+检查清单合计 《软件开发》杂志Jolt大奖。大而全，洞悉软件构建精髓；优而先，兼顾行业实践研究；奠定硬核技术领导力的经典；庸常变身卓越的实用性指导,史蒂夫.麦康奈尔,¥256.00,清华大学出版社
 PPT设计思维：教你又好又快搞定幻灯片（第2版）（全彩印刷） 畅销书升级版，《PPT知识图谱》作者作品，被万千知友收藏的“旁门左道”PPT设计经验，拒绝炫耀技巧，只求又好又快地搞定幻灯片,邵云蛟,¥43.40,电子工业出版社
 啊哈！算法 算法入门书 算法导论学习指南 ACM和信息学竞赛备考宝典 一本轻松玩转算法和数据结构的超萌书 奥赛教练 微软亚洲研究院小伙伴啊哈磊埋头苦干的作品,啊哈磊,¥59.80,人民邮电出版社
 算法图解 像小说一样有趣的算法入门书 代码示例基于Python 熟练掌握算法设计与分析,巴尔加瓦,¥69.80,人民邮电出版社
 GraphPad Prism科技绘图与数据分析 GraphPad Prism 软件资深专家教你如何专注于数据中的故事，并创建令人惊叹的图形！,丁金滨,¥104.20,清华大学出版社
 Excel机器学习 不懂Python没关系，用Excel也能学机器学习。十余种常用机器学习方法，一步一步轻松学。免费下载Excel示例文件，边学边练。,周红,¥44.80,人民邮电出版社
 用数据讲故事（修订版） ,科尔·努斯鲍默·纳福利克,¥69.80,人民邮电出版社
 网络是怎样连接的 计算机网络概论图解趣味版 网络技术基础知识程序员入门进阶教程,户根勤,¥69.80,人民邮电出版社
 剪映：短、中、长视频剪辑全攻略（手机版+电脑版） 音频+字幕+特效+调色，应有尽有核心基础+短视频+中长视频，逐一攻克方法+技巧，举一反三赠送90+个教学视频赠送全书案例的素材和效果文件,构图君,¥52.30,清华大学出版社
 Scratch编程入门与算法进阶 第2版 ,中国电子学会,¥79.00,人民邮电出版社
 CST仿真设计理论与实践 把仿真实例将理论与工程应用紧密结合，针对不同研究方向全面讲解了CST 的仿真技巧。随书附赠教学课件，获取地址见书前言二维码，教材服务QQ：1815317009,张晓,¥73.50,清华大学出版社
 华为数字化转型之道 华为官方出品 华为官方出品！华为轮值董事长郭平、CIO陶景文推荐。首次对外公开华为数字化转型方法论与实践经验。学透华为管理“新方向”，看懂企业数字化转型“新变革”。2022登峰图书奖十大好书。,华为企业架构与变革管理部,¥119.80,机械工业出版社
 硅基物语.AI大爆炸：ChatGPT—AIGC—GPT-X—AGI进化—魔法时代—人类未来 漫画ChatGPT与AIGC：用趣味解读AI大爆炸，用智慧开启AI新纪元,量子学派@ChatGPT,¥66.70,北京大学出版社
 JavaScript高级程序设计 第4版 web前端开发经典教程，JS“红宝书”全新升级，入门+实战，涵盖ECMAScript 2019，提供教学视频+配套编程环境，可直接在线运行随书代码,马特·弗里斯比,¥129.00,人民邮电出版社
 CPU眼里的C/C++ 用独特的底层视角，重新审视编程的艺术，构建一个涵盖代码、指令、CPU、内存的软、硬件图景。,阿布编程,¥66.70,清华大学出版社
 C++ Primer中文版（第5版） C++学习头牌 全球读者千万 全面采用新标 技术影响力图书冠军,李普曼,¥83.20,电子工业出版社
 硅基物语 我是灵魂画手：一本书讲透AI绘画 看清AI底层逻辑，玩转AI顶级绘画 AI绘画圣手：用ChatGPT+Midjourney画出人类的灵魂与梦想，用Stable Diffusion+D-ID画出青春绚丽的渴望。激活每个人隐藏的绘画天赋，人人都能成为顶级绘画大师。,量子学派@ChatGPT,¥96.00,北京大学出版社
 操作系统导论 美国知名操作系统教材 紧紧围绕操作系统的三大主题元素--虚拟化 并发和持久性进行讲解,雷姆兹,¥99.00,人民邮电出版社
 ChatGPT时代：ChatGPT全能应用一本通 ChatGPT实战宝典+实操指南 ChatGPT实战宝典：150+案例带你轻松玩转大模型，教你秒超99%的人！,江涵丰,¥44.20,北京大学出版社
 ToB营销增长：B2B和SaaS市场人工作指南 ToB营销增长标准著作，800位专家好评，独创ToB营销增长模型，构建完整ToB知识体系，学习华为等企业经验,邹杨,¥81.70,机械工业出版社
 Excel函数与公式速查宝典教程（视频案例+彩色印刷） word excel ppt wps 办公软件自学教程 办公应用 手机扫码看474节18小时同步视频讲解+362个函数与公式解析+435个行业应用案例，赠37小时Word/Excel/PPT教学视频，Excel速查大全，随查随用,Excel精英部落,¥97.80,水利水电出版社
 秒懂AI写作：让你轻松成为写作高手 用AI有效写作，职场应用文、商业营销文案、新媒体写作、调查研究与论文、艺术创作等40多个AI写作案例，场景+方法+公式+总结四大层面，AI让你写得又快又好。,秋叶,¥59.80,人民邮电出版社
 ChatGPT进阶：提示工程入门 将AI转化为生产工具，重塑您的工作流 爆火全网的原创提示词设计框架BROKE，带你5步掌握向人工智能提问的艺术，从小白变身ChatGPT应用专家，将AI转化为生产工具，重塑你的工作流！,陈颢鹏,¥44.20,北京大学出版社
 秒懂AI提问：让人工智能成为你的效率神器 精心提炼20种GPT提问方法及指令，从入门到进阶再到精通，100个案例带你玩转GPT，掌握高效AI提问方法，充分发挥GPT威力，好问题才有好答案,秋叶,¥59.80,人民邮电出版社
 毫无PS痕迹（第二版） photoshop2022 ps教程零基础 ps入门 ps教程2022 Photoshop2022新版，配1900分钟视频课精讲，打通选区、通道、蒙版的本质关联，图像处理，摄影后期，UI设计，“ACR+智能对象”实战讲解，Adobe认证PS讲师赵鹏15年呕心力作,赵鹏,¥98.00,水利水电出版社
 Android Studio开发实战：从零基础到App上线(第3版) Android经典畅销书全面升级更新，持续保持同类书畅销榜前列，一线企业内训首推、Android程序员热捧。,欧阳燊,¥111.60,清华大学出版社
 完全图解网络与信息安全 数据安全 黑客攻防从入门到精通 网络安全攻防技术 数据安全架构设计 一本计算机网络安全相关概念和 攻击方式、安全技术、防范对策、组织体制完全图解，全面学习网络与信息安全相关的知识，确保个人和周边的网络信息安全。,增井敏克,¥78.20,水利水电出版社
 人工智能从小白到大神 chatgpt聊天机器人 美国AAAS院士清华大学智能科学讲席教授张亚勤百度技术委员会理事长陈尚义 中国大数据应用联盟人工智能专家委员会主任、中国信息协会人工智能教育专家委员会主任刘鹏力作！用Python手工打造神经网络，带你彻底学懂和理解AI的原理与本质,刘鹏,¥88.00,水利水电出版社
 流畅的Python（第2版） Python编程好书新升级，基于Python3.10更新与修订。好评如潮的Python进阶指南，第1版中文版累计销量近8万册，带你深入理解Python语言核心特性与底层逻辑！,卢西亚诺·拉马略,¥199.80,人民邮电出版社
 重构 改善既有代码的设计 第2版 平装版 重构20年 世界软件开发大师MartinFowler的不朽经典 生动阐述重构原理和具体做法 普通程序员进阶到编程高手的修炼秘笈和代码整洁之道,马丁·福勒,¥99.00,人民邮电出版社
 计算机网络：自顶向下方法（原书第8版） 经典教材全新升级，被国内外数百所高校选用，被译为14种语言畅销全球,詹姆斯·F,¥96.70,机械工业出版社
 MySQL是怎样运行的 从根儿上理解MySQL 深入剖析MySQL必知必会高性能数据库运行数据分析与数据处理的书籍，采用200多幅图辅助讲解重点内容，提供彩图下载、公众号答疑服务，双色印刷。,小孩子4919,¥99.00,人民邮电出版社
 计算机底层的秘密 计算机底层的秘密-限量签名版,陆小风,¥64.90,电子工业出版社
 SPSS实战与统计思维 附赠全书实例完整数据集和SPSS入门学习视频 大数据方法论风靡全球 统计学应用更上一层楼 SPSS统计分析从入门到精通 统计分析大全 从统计学思维开始 由浅入深 全面系统讲解SPSS实战应用,武松,¥74.20,清华大学出版社
 智慧的疆界：从图灵机到人工智能 畅销书《深入理解Java虚拟机》作者新作，从奠基人物、历史事件、学术理论、研究成果、技术应用5维度展开,周志明,¥49.80,机械工业出版社
 数据库系统概念（原书第7版） 数据库系统的经典教材,亚伯拉罕,¥111.70,机械工业出版社
 玩转ChatGPT办公：秒懂AI提问+写作 当当套装2册 赠GPT Midjourney使用手册 ChatGPT时代，让AI成为你的效率神器，有效掌握AI提问方法，精确下达AI指令，从提问到写作，充分发货GPT威力,秋叶,¥119.60,人民邮电出版社
 自动调节系统解析与PID整定 ,白志刚,¥48.00,化学工业出版社
 Word/Excel/ PPT最强教科书【套装完全版】 系列新成员前来报到，128个超好用的Word办公场景常用技巧，123个好用的PPT办公场景常用技巧效率提升不只一点点！,张栋,¥244.50,中国青年出版社
 人工智能导论 面向非计算机专业的人工智能入门书籍，新一代信息技术丛书,李德毅,¥44.10,中国科学技术出版社
 Scratch少儿编程从入门到精通:案例视频版 中小学青少年编程儿童少儿编程 零基础学Scratch（全彩图解+高清视频 理论知识+示例讲解+思维导图+实战案例+配套视频+PPT课件+QQ群在线交流， 可以有效开拓孩子们思维、提升创意、训练专注力，同时提高创造力。,贾炜,¥89.00,北京理工大学出版社
 数据分析思维：分析方法和业务知识 数据分析思维：AI时代的通用能力，升职加薪的高维武器！,猴子·数据分析学院,¥99.00,清华大学出版社
 科技之巅3 麻省理工科技评论 100项全球突破性技术深度剖析 源自MIT的科技创新预言圣经 智能时代的黑科技进化论 科技创业投资行动指南 MITTR官方解读AI、机器人、能源材料、生物医疗、基因等技术，季维智、TomMitchell、徐文伟等重磅解读与推荐,麻省理工科技评论,¥99.00,人民邮电出版社
 从0到1 SQL即学即用 保姆级SQL教程，基于SQL标准编写，涵盖MySQL、SQL Server和Oracle三大主流DBMS语法差异，附赠配套PPT讲义练习题，适合教学/培训/自学/工作参考的数据库书籍,莫振杰,¥99.80,人民邮电出版社
 SPSS统计分析从入门到精通（第五版） 畅销书 重磅升级 掌握大数据分析工具成就专业高手,杨维忠,¥81.70,清华大学出版社
 利用ChatGPT进行数据分析 代表作累计销量10万册+作者，教你先人一步驾驭ChatGPT，内容循序渐进，真实案例即学即用，帮助你大幅提升数据分析效率，成为数据分析高手！,张俊红,¥59.80,人民邮电出版社
 深入浅出Python量化交易实战 你听说了吗？他们已经在用机器割“韭菜”啦！量化交易技术，让股市赚钱不再难。免费提供配套源程序+学习视频。简单易懂，即便是非金融或投资专业的读者也可以看懂,段小手,¥74.20,清华大学出版社
 OpenCV 4.5计算机视觉开发实战：基于Python 解析OpenCV图像与视频处理技术，实战停车场车牌识别、物体识别、运动跟踪、人脸检测案例,朱文伟,¥79.00,清华大学出版社
" 中文版 ANSYS Fluent 2022流体分析从入门到精通（实战案例版）流体计算ansys fluent数值计算方法 CAD/CAM/CAE/EDA专家编写,329分钟同步讲解视频+21个实例案例分析+源文件+赠送资源+在线交流",天工在线,¥89.80,水利水电出版社
 SEO实战密码——60天网站流量提高20倍（第4版） SEO行业专家Zac经典作品全新改版全面升级,昝辉,¥188.00,电子工业出版社
 Linux高性能网络详解：从DPDK、RDMA到XDP 细致剖析Linux高性能网络主流解决方案，涵盖DPDK和RDMA等当下热点技术，同时涉及前沿的XDP技术，深入理解Linux网络。,刘伟,¥118.80,人民邮电出版社
 ChatGPT使用指南：人人都应该掌握的AI最强工具 ai应用aigc智能经济chatGPTai革命ai未来进行式书籍 ,苏江,¥99.00,北京理工大学出版社
 调色全面精通：配色方法+照片调色+视频调色+电影调色 笔者多年电视台视频的调色经验，进行知识提炼，倾心、干货之作;既讲照片调色，又讲视频调色，帮助你全面精通照片与视频的双重调色;书中所有案例，提供了素材、效果和教学视频,周玉姣,¥59.80,清华大学出版社
 算法竞赛入门到进阶 ACM-ICPC、CCPC、中学NOI竞赛培训指南与知识点详解（附精讲视频） 120分钟视频讲解，讲解竞赛所常用的知识点，以及如何把知识点和竞赛题结合起来,罗勇军,¥44.80,清华大学出版社
 基于深度学习的生命科学 本书概述了深度学习在生命科学许多领域的应用，包括在遗传学、药物发现以及医学诊断中的应用,巴拉斯拉姆达,¥66.60,中国电力出版社
 硬件十万个为什么（无源器件篇） “从物理中来，到工程中去”，解决为什么要用、如何用、用哪种？中国科学院院士力荐。,朱晓明,¥70.40,北京大学出版社
 用户体验要素：以用户为中心的产品设计（原书第2版） 本书是AJAX之父的经典之作。,杰西,¥62.50,机械工业出版社
 动画视频+全彩图解 道路交通标志标线大全 新交规不枯燥，预防驾照扣分，标志标线一本通、彩色图解配套动画演示视频讲解，教学、培训、自学均可,郭建英,¥69.00,化学工业出版社
 奇点临近 畅销书《The Age of Spiritual Machines》作者又一力作 比尔?盖茨鼎力推荐,雷·库兹韦尔,¥74.20,机械工业出版社
 有效需求分析 ,徐锋,¥69.00,电子工业出版社
 AIGC未来已来 迈向通用人工智能时代 解读ChatGPT及AIGC的热点问题，洞察AIGC时代的机遇与隐忧 解读AIGC及ChatGPT的热点问题，洞察AIGC时代的机遇与隐忧，选好赛道，乘风而起！全彩印刷，涉及绘画、涉及、视频、诊疗、营销等多个赛道！,翟尤,¥52.30,人民邮电出版社
 程序员数学 用Python学透线性代数和微积分 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载,保罗·奥兰德,¥97.30,人民邮电出版社
 Flask Web全栈开发实战 从Flask基础到Flask进阶，再到企业级论坛项目实战以及WebSocket在线聊天系统实战，囊括真实工作场景中绝大部分技术要点。原理讲解+项目驱动，让您真正实现从零基础到实战应用的飞跃。,黄勇,¥79.00,清华大学出版社
 Effective C++：改善程序与设计的55个具体做法（第三版）中文版（双色） ,Scott,¥48.90,电子工业出版社
 C#入门经典（第9版） 屡获殊荣的C#名著和优秀畅销书，更新至 C# 9.x 和 .NET 5.x。随书赠送源代码和习题答案，获取地址见书封底二维码。,本杰明·帕金斯,¥118.00,清华大学出版社
 Visual C#从入门到精通（第10版） 承袭Step by Step风格，完美演绎C#精髓；久经考验、深受国内外读者喜爱的入门经典,约翰·夏普,¥189.00,清华大学出版社
 漫画ChatGPT——小灰的AI之旅 ,魏梦舒,¥59.00,电子工业出版社
 手把手教你学51单片机——C语言版（第2版） 集理论知识、视频教程、教学课件与技术支持于一体的新形态教材！300多所高校选用、销售100000多册、第四届中国大学出版社优秀畅销书一等奖！,宋雪松,¥59.20,清华大学出版社
 谁说菜鸟不会数据分析（入门篇）（第4版） 谁说菜鸟不会数据分析（入门篇）（第4版）(博文视点出品) 影响海峡两岸数十万人的数据分析“小黄书”基于Excel2016多方位升级，沈浩教授、《数据化管理》作者黄成明、张文彤博士等抢先品读，小蚊子团,张文霖,¥37.90,电子工业出版社
 Python编程实战100例 100个编程实例 1390分钟视频讲解 核心编程应用 项目开发 python进阶 pyth 核心编程应用实例 图形界面编程 自动化编程 网络爬虫 数据库开发 多媒体处理 数据分析 人工智能编程,张晓,¥89.80,水利水电出版社
 运筹优化常用模型、算法及案例实战——Python+Java实现 主要讲述运筹优化领域常用的数学模型、精确算法以及相应的代码实现。,刘兴禄,¥96.00,清华大学出版社
 数据分析从入门到进阶 透彻讲解Excel、SQL、Tableau、Python四项数据分析必会工具，免费提供1GB数据集、源代码。,陈红波,¥59.90,机械工业出版社
 大疆TT教育无人机从入门到精通 涵盖大疆TT无人机的编程飞行 、多机编队、智慧感知、创意拓展、智能航拍等方面，配大量案例和代码,蔡冬冬,¥74.20,清华大学出版社
 有效竞品分析：好产品的竞品分析方法论 近20年经验总结，中国平安、华为、OPPO、三星、苏泊尔、美的等100余家中外企业都在用的竞品分析方法论,张在旺,¥59.20,机械工业出版社
" FPGA时序约束与分析 十五年FPGA开发经验, 将时序理论、时序工具、时序约束、时序分析，一网打尽！业界多位专家联袂推荐",吴厚航,¥51.70,清华大学出版社
 达芬奇影视调色全面精通：素材剪辑＋高级调色＋视频特效＋后期输出＋案例实战 抖音热门视频案例，从零开始学会制作；达芬奇调色核心技巧，一本书完全精通！5大模板内容，160多个案例，290多分钟同步操作高清语音视频演示！,周玉姣,¥74.20,清华大学出版社
 Arduino编程与硬件实现 Arduino + 电子元器件，软件+硬件 一本掌握,樊胜民,¥48.00,化学工业出版社
 深度生成模型（全彩） ChatGPT\Stable Diffusion\DALL-E\MidJourney等AIGC模型的技术基石，深学细悟筑基石，任凭风浪起，稳步迈进通用人工智能,Jakub,¥59.40,电子工业出版社
 剪映教程：3天成为短视频与Vlog剪辑高手 由剪映课程讲师针对20万学员喜欢的后期处理技巧精心讲解，14个专题内容，87个干货技巧，随书赠送30个短视频拍摄与Vlog运镜技巧手册，帮助读者快速成为短视频与Vlog拍摄达人。,龙飞,¥51.70,清华大学出版社
 CTF那些事儿 北航Lancet战队成员倾力打造，推出CTF实战技能全新学习框架,李舟军,¥149.20,机械工业出版社
 决胜B端：驱动数字化转型的产品经理（第2版） ,杨堃,¥55.00,电子工业出版社
 机器学习方法 ,李航,¥103.50,清华大学出版社
 HuggingFace自然语言处理详解——基于BERT中文模型的任务实战 系统讲解HuggingFace工具集，包括基础知识、实战示例及底层原理 ！内容全面、语言简洁、代码清晰,李福林,¥51.70,清华大学出版社
 一本书讲透数据治理：战略 方法 工具与实践 用友官方出品，用友集团董事长、DAMA中国区主席推荐，详述数据治理3个机制、8项举措、7种能力、7把利剑,用友平台与数据智能团队,¥96.70,机械工业出版社
 深入浅出通信原理 通信人家园论坛总点击量800万的神帖 七年磨一剑 被网友称为通信界的《明朝那些事儿》 与《大话通信》《大话无线通信》《大话移动通信》同基础全面的计算机IT学科普及书,陈爱军,¥66.70,清华大学出版社
 Head First Java 实战（第三版） 畅销10余年，累计销售30万余册，计算机图书十大好书之一,凯西·希拉,¥125.40,中国电力出版社
 AI魔法绘画：用Stable Diffusion挑战无限可能 全彩精美、内容详尽、案例丰富，基于Stable Diffusion进行AI绘画，包括绘画技巧、图片生成、提示词编写、插件讲解、模型训练、常用提示词中英文对照表等,陈然,¥70.40,电子工业出版社
