书名,作者,价格,出版社
 中文版Rhino 7完全自学教程 Rhino产品设计、工业设计学习实用图书，900多分钟在线教学视频，68个实战+7个综合实例，全面学习Rhino的各项功能与技术,姚一鸣,¥129.90,人民邮电出版社
 图解算法：使用C语言 理解零负担，采用功能强大的C语言演绎算法思维,吴灿铭,¥36.70,清华大学出版社
 C Primer Plus 第6版 中文版习题解答 图书《C Primer Plus》的学习伴侣 北京师范大学名师详细剖析所有题目 提升C编程能力的优选编程练习册,史蒂芬,¥89.80,人民邮电出版社
 软件平台架构设计与技术管理之道 驾驭复杂平台的深度思考，顶层架构设计的实践分享。 领悟大道至简的技术哲学观，掌控IT管理与决策的智慧锦囊。,由维昭,¥79.00,清华大学出版社
 MATLAB数学建模（第2版） MathWorks Fellow Jim Tung作序！ 丛书累计销售20多万册！微课视频+程序代码+课件素材+测试题库+算法代码！,李昕,¥118.00,清华大学出版社
 C++20实践入门（第6版） C++入门从Beginning C++20开始，讲解如何使用新推出的C++20编写程序,艾弗·霍尔顿,¥158.00,清华大学出版社
 小学生C++编程入门 开发智力、启发思维、培养创新意识和能力，一本特别为小学生量身定做的C++编程入门书。,喻蓉蓉,¥42.00,清华大学出版社
 深度学习图解 深度学习是人工智能的一个分支，这本书以有趣的图解方式为你揭开深度学习的神秘面纱,安德鲁·特拉斯克,¥74.80,清华大学出版社
 剪映教程：短视频+Vlog制作一点通视频教学版唯美世界 剪辑书 剪映短视频剪辑从入门到精通 短视频拍摄与制作 手机短视频 59个实例案例分析+326分钟视频教学+视频源文件动手练+电脑版手机版案例实操，涵盖短视频剪辑、美颜、抠像、蒙版、音频、文字、调色、动画、特效等,唯美世界,¥89.80,水利水电出版社
 Linux命令行大全 第2版 手把手教你学Linux操作系统，脚本shell编程代码书写，系统管理编程运维，学习使用bash（Linux Shell）编写完整的程序。,威廉·肖特斯,¥129.00,人民邮电出版社
 大话存储 新——存储系统底层架构原理极限剖析 存储圣经。,张冬,¥199.00,清华大学出版社
 Effective Java中文版（原书第3版） Jolt大奖获奖作品 Java之父James Gosling需要的一本书,约书亚,¥94.10,机械工业出版社
 cad cam cae微视频讲解大系 中文版AutoCAD2023从入门到精通实战案例视频教学 autocad教材自学版 2023新版Autodesk官方认证考试专家编写手机扫码看192集微视频讲解+165个实例案例分析，赠送丰富资源,天工在线,¥89.80,水利水电出版社
 信息学竞赛入门篇 本书由全国青少年信息学奥林匹克竞赛金牌教练精心编写而成，书中知识体系完善，内容丰富，并配有真题及详解。本书可作为算法竞赛、全国青少年信息学奥林匹克竞赛NOI等相关比赛的入门教材。,信息学名师工作室,¥57.00,清华大学出版社
 ChatGPT速学通：文案写作+PPT制作+数据分析+知识学习与变现 让ChatGPT走近具体工作与生活，利用AI进行写作、PPT制作、数据分析等，现有职场办公类图书的颠覆式替代产品，免费提供思维导图、80+配套教学视频及素材文件。,刘道军,¥79.80,人民邮电出版社
 MySQL从入门到精通（第3版） MySQL入门经典，32万数据库开发人员的入行选择。配备数据库开发资源库+在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,明日科技,¥67.30,清华大学出版社
 Linux就该这么学（第2版） 刘遄Linux入门教程升级，基于Linux系统RHEL8编写，每章带有大量图表及习题，知识点覆盖红帽认证RHCSA、RHCE、RHCA考试要求，配套站点提供软件、学习资料及答疑服务。,刘遄,¥99.90,人民邮电出版社
 正版如果你坐的得歪歪扭扭 3-6-7岁精装儿童绘本书3种有效训练让孩子保持正确坐姿 让孩子告别趴着写字 歪歪扭扭 矫正坐 ,李仑姬,¥18.71,北京科技
 人工智能导论：模型与算法 ,吴飞,¥36.50,高等教育出版社
 C#从入门到精通（第7版） C#入门经典，18万C#程序员的入行选择。配备升级版C#开发资源库，在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,明日科技,¥74.80,清华大学出版社
 深入浅出SSD：固态存储核心技术、原理与实战 第2版 经典畅销书升级，内容更新超60%，更新、更全、更有深度，10余位产业界领导或领域专家推荐,SSDFans,¥96.70,机械工业出版社
 控制系统建模与仿真——基于MATLAB/Simulink的分析与实现 控制系统建模|MATLAB编程|Simulink仿真 清华大学|北京航空航天大学|北京理工大学|北京自动化学会 知名专家联袂推荐,姜增如,¥59.20,清华大学出版社
 用Python学数学 编程思维与数学思维强强联合，利用Python的可视化方法，基于Python 3代码示例，解决经典的代数、几何、三角、微积分等数学案例，开启程序员的数学与Python的奇幻之旅，全彩印刷。,彼得·法雷尔,¥109.80,人民邮电出版社
 科技之巅（20周年珍藏版）：全球突破性技术创新与未来趋势 来自麻省理工科技评论的深刻思考！纵览20年间前沿科技变化，把握科技、创新、经济、投资领域风向标！预测下一个风口！,DeepTech深科技,¥98.00,人民邮电出版社
 Java并发编程实战（第16届Jolt大奖提名图书，Java并发编程佳作） 豆瓣评分9.1，Java并发编程里程碑著作！10年畅销100000册！,Brian,¥54.60,机械工业出版社
 中老年零基础学智能手机：手机操作 + 微信应用+网上购物 + 娱乐与安全（大字大图版） 大字、大图、全彩，清晰易读，再也不怕中老年朋友看不清、看不懂！10万中老年朋友喜欢的抖音账号，10万中老年朋友能学会的手机知识，120多集同步教学视频扫码可看。从零开始，快速从入门到精通的智能手机教程,王丽英,¥51.70,北京大学出版社
 大学计算机 （第5版） ,朱鸣华,¥30.70,高等教育出版社
 Excel 高效办公 数据处理与分析（第3版） 数据排序 筛选 分类汇总 数据透视表 函数与公式 图表等知识 VBA宏编程序函数据整理处理统计分析测试定制作图表,神龙工作室,¥59.80,人民邮电出版社
 Unity 2D游戏开发 使用C#进行独立游戏编程，专注于2D游戏和Unity不断扩展的2D工作流程。 让发现、购买和销售游戏比以往任何时候都容易。,杰瑞德·哈尔彭,¥60.20,清华大学出版社
 计算机算法设计与分析（第5版） ,王晓东,¥38.70,电子工业出版社
 梦时间与短视频 亲爱的安先生 本书让你用精密的视频美学技巧吸引用户 捕获观众的情绪 抢夺用户的时间 让用户不愿划走 磨铁 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,亲爱的安先生,¥34.00,江苏凤凰文艺出版社
 蓝桥杯 真题分类解析（C/C++版·软件类） 蓝桥真题 帮你走上赛事之巅 分类解析 让你更快荣获国一,丁向民,¥43.50,清华大学出版社
 数据可视化分析（第2版）：分析原理和Tableau、SQL实践（全彩） Tableau为基础，部分章节辅以SQL讲解，系统介绍了数据可视化分析的体系和方法，内容涵盖问题分析方法、数据合并和建模、可视化图形的选择和构建、多种交互方式及其组合、仪表板设计与高级交互、基本计算和,喜乐君,¥103.90,电子工业出版社
 Web漏洞解析与攻防实战 从Web漏洞解析到安全攻防实战 Web安全研究和渗透测试工作者的技术指南,王放,¥96.70,机械工业出版社
 微信公众号平台操作与版式设计（微课版） 详解微信公众号后台操作和排版方法，帮助读者学会制作好看、吸引人的公众号推文，提高新媒体和电商工作人员的工作效率和操作技巧，深入了解微信公众号后台的操作流程,文杰书院,¥66.70,清华大学出版社
 人工智能简史 第2版 详解人工智能起源、神经网络、深度学习、自然语言处理、遗传算法，获中华优秀出版物图书奖、吴文俊人工智能科技进步奖，入围央视,尼克,¥79.00,人民邮电出版社
 质性研究数据分析工具NVivo 12 实用教程 NVivo软件 定性分析软件书籍 同质化研究工具 NVivo官方认证专家冯狄编写 实例讲解 可以使用配书资源按照习题的要求进行练习,冯狄,¥44.20,人民邮电出版社
 数据合规：入门 实战与进阶 数据合规律师多年一线治理经验的系统总结！ 跟随主人公白晓萌萌律师的不断成长，快速掌握多元场景中的实务处理方案！ 企业数据合规治理的实用工作手册！数据合规专业人士成长晋阶的秘笈！,孟洁,¥66.70,机械工业出版社
