Test Sponsor,System Name,Paralled,Base Threads,Enabled Cores,Enabled Chips,Threads/Core,Base Results,Peak Results
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz, Intel Xeon Platinum 8180)",Yes,56,56,2,1,133   ,134   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6126)",Yes,24,24,2,1,101   ,102   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6134)",Yes,32,16,2,2,94.9 ,95.4 
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz, Intel Xeon Gold 6136)",Yes,24,24,2,1,108   ,109   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6146)",Yes,24,24,2,1,110   ,111   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Silver 4114)",Yes,20,20,2,1,75.7 ,76.5 
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 5115)",Yes,20,20,2,1,79.5 ,80.2 
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz, Intel Xeon Gold 6140)",Yes,36,36,2,1,114   ,115   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Gold 5120)",Yes,28,28,2,1,90.4 ,92.2 
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Gold 6130T)",Yes,32,32,2,1,111   ,111   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Platinum 8153)",Yes,32,32,2,1,101   ,103   
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6132)",Yes,28,28,2,1,107   ,107   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2186G)",Yes,12,6,1,2,32.7 ,33.0 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2176G)",Yes,12,6,1,2,32.7 ,33.0 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2136)",Yes,12,6,1,2,32.4 ,32.8 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2174G)",Yes,8,4,1,2,28.0 ,28.3 
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Silver 4116)",Yes,24,24,2,1,86.6 ,87.1 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)",Yes,4,4,1,1,26.3 ,26.6 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)",Yes,4,4,1,1,26.7 ,27.1 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)",Yes,4,4,1,1,23.9 ,24.2 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",Yes,56,56,2,1,164   ,165   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",Yes,56,56,2,1,163   ,164   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)",Yes,6,6,1,1,31.6 ,32.0 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)",Yes,12,6,1,2,32.1 ,32.4 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)",Yes,32,16,2,2,114   ,115   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)",Yes,56,56,2,1,152   ,152   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)",Yes,8,4,1,2,27.7 ,28.0 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)",Yes,44,44,2,1,137   ,138   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)",Yes,24,24,2,1,133   ,134   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)",Yes,32,32,2,1,120   ,120   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2144G)",Yes,8,4,1,2,27.8 ,28.1 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230)",Yes,40,40,2,1,138   ,138   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 6248)",Yes,40,40,2,1,146   ,147   
